YEAR,RANKING,COMPANY,CUSTOMER SATISFACTION,EMPLOYEE ENGAGEMENT AND DEVELOPMENT,INNOVATION,SOCIAL RESPONSIBILITY,FINANCIAL STRENGTH,EFFECTIVENESS,gvkey,new_gvkey
2018,288,Alaska Air Group,55.9,59.7,48.3,44.9,49.1,51.7,1230,
2019,333,Alaska Air Group Inc,53,55.6,47.8,51.5,42.7,49.6,1230,
2020,407,Alaska Air Group Inc,52.6,57.6,45.6,51.9,41.1,49.5,1230,
2021,310,Alaska Air Group Inc,55,54.9,55.1,53.2,33.8,52.3,1230,
2018,635,Allegheny Technologies,52.8,45.5,47.9,37.9,38.1,41,1274,
2018,716,Alleghany,36.6,50.3,41.9,37.3,39.9,36.5,1274,
2019,594,Alleghany Corp,46.4,52.2,42.2,36.9,37.7,38.9,1274,
2020,753,Alleghany Corp (NY),48,48.2,43.1,36.5,42.7,39.9,1274,
2021,715,Alleghany Corp (NY),44.1,40.7,47.8,40,50.1,41.1,1274,
2020,462, Allegheny Technologies Inc ,46.8,55.8,47.9,50,43,48.1,1279,
2017,179, Honeywell International ,60,38.6,67,46.7,57.1,55,1300,
2019,65,Honeywell International Inc,61.6,49.5,70.4,57.4,59.5,64.3,1300,
2020,38,Honeywell Intl Inc,67.8,50.7,73.7,61.9,58,69.2,1300,
2021,70,Honeywell Intl Inc,62.1,49.9,70.7,60,53.5,65.1,1300,
2017,161,Skyworks Solutions,57.4,47,48.2,54.5,63.3,55.9,1327,
2018,129,Skyworks Solutions,60.8,51.8,47.8,50.9,69.6,58.8,1327,
2020,385, Skyworks Solutions Inc ,53.2,47.5,54.5,44.3,51.2,50,1327,
2021,425,Skyworks Solutions Inc,49.7,45.9,48.1,46.6,59.2,48.8,1327,
2017,380,Hess,50,63,41.1,64.4,22.5,47.9,1380,
2018,433,Hess,49.8,49.9,44.7,64.4,29.1,47,1380,
2019,176,Hess Corp,49.9,51.5,46.9,70.5,49.4,55.9,1380,
2020,253,Hess Corp,50.4,52.3,47.2,70.5,38.7,53.8,1380,
2021,191,Hess Corp,50,60.6,46.2,69.3,41,57,1380,
2017,286,Ameren,41.3,65.1,43,54.9,47.8,50.9,1393,
2018,339,Ameren,45.2,60.8,42,55.8,45.3,49.8,1393,
2017,441, ABM Industries ,59.2,40.3,43.9,48.7,46.7,46,1410,
2018,650,ABM Industries,40.4,33,45.4,53,43.7,40.3,1410,
2019,516,ABM Industries Inc,55.8,32.2,44.2,52.9,44.3,43,1410,
2020,569,ABM Industries Inc,53.8,33.9,42.7,56.3,47.7,45.5,1410,
2021,444,ABM Industries Inc,55.5,35.6,45.5,57.7,47.9,48.3,1410,
2017,393, American Electric Power ,38.2,57.5,42.5,56.1,46.4,47.5,1440,
2018,325,American Electric Power,37.9,59.4,43.1,61.9,46.7,50.4,1440,
2019,211,American Electric Power Company Inc,38,56.9,55.8,62.7,46.3,54.2,1440,
2020,281, American Electric Power ,40.2,54,53.7,59.8,49.7,53,1440,
2021,219, American Electric Power ,42.1,61.1,55,59.5,47.7,55.7,1440,
2017,149,American Express,53.4,62.8,52.3,52.5,51.5,56.7,1447,
2018,65,American Express,53.1,60.3,73.1,57.5,49.9,63.9,1447,
2019,40,American Express Co,54.9,62.1,70.3,58.5,59.3,67,1447,
2020,81, American Express Co ,54.2,64.3,60.7,60.6,53.9,63.3,1447,
2021,34,American Express Co,53.7,64.6,72.1,62.9,56.9,69.2,1447,
2017,288,AFLAC,50.5,57,44.8,52.6,48.1,50.8,1449,
2018,410,AFLAC,42.5,50.8,45,54,48.9,47.7,1449,
2019,301,Aflac Inc,41.5,49.7,54.1,54.9,50.1,50.9,1449,
2020,375,AFLAC Inc,40.5,58,44.8,56.6,50.3,50.2,1449,
2021,303,AFLAC Inc,39.5,54.2,51.5,57.5,55.2,52.5,1449,
2017,552, American International Group ,35.5,41.9,55,44.3,45.3,41.2,1487,
2018,433,American International Group,37,46.5,62.9,52.1,38.2,47,1487,
2019,440,American International Group Inc,37.8,44.2,58.2,52.7,40,45.8,1487,
2020,322, American Intl Group Inc ,37.9,44.5,68.1,50.8,49.9,51.7,1526,
2021,407,American Intl Group Inc,32.2,42.5,68.8,51,49.8,49.4,1526,
2017,37,AT&amp;T,44.6,52.2,79.8,60.2,68.5,66.8,1581,
2018,67,AT&amp;T,39.4,51.9,59.2,64.9,76.5,63.8,1581,
2019,46,AT&amp;T Inc,47.6,51.4,64.6,68.4,67.1,66.1,1581,
2020,60,AT&amp;T Inc,41.9,47.6,66.2,72.9,68.9,65.6,1581,
2021,166,AT&amp;T Inc,49,46.8,60.5,66.6,48.4,58.2,1581,
2017,270, American Water Works ,49.7,49,42.7,64,47.9,51.4,1587,
2018,141,American Water Works,51.1,51.7,62.8,62.8,45.2,57.9,1587,
2017,588,Ametek,49.3,36.8,46.5,37.4,49.2,39.7,1598,
2018,593,AMETEK,49,43.1,46.1,39.5,48.4,42.3,1598,
2019,524,Ametek Inc,42,45,46.3,39.8,52,42.7,1598,
2020,699,AMETEK Inc,48.5,34.5,48.2,39.1,54,41.9,1598,
2021,640,AMETEK Inc,46.7,42.3,47.3,43.6,48.8,43.2,1598,
2017,62,Amgen,62.2,57.5,54.7,61,59.6,63.6,1602,
2018,47,Amgen,70.1,61.4,55.3,64.2,56.6,67.2,1602,
2019,43,Amgen Inc,61.7,58,53.6,66.3,66,66.6,1602,
2020,26,Amgen Inc,70.8,57.1,63.8,67.3,62.9,71.5,1602,
2021,37,Amgen Inc,70.9,60.9,56.4,67.5,54.5,69,1602,
2017,100,Analog Devices,67.1,58,52,59.2,47.7,60.1,1632,
2018,131,Analog Devices,57.4,59.2,50,61.4,50,58.6,1632,
2020,143,Analog Devices Inc,63,56,54.6,58.7,48.1,59.1,1632,
2021,166,Analog Devices Inc,63.5,55,49.6,58.3,49.7,58.2,1632,
2018,566,Andersons,50.4,54.9,46.2,38.5,39.9,43.2,1659,
2019,548,Andersons Inc,48.1,54.4,46.2,34.3,41.5,41.6,1659,
2020,641,Andersons Inc,51,49.2,48.9,37.6,43,43.5,1659,
2021,764,Andersons Inc,45.2,42,47.6,36.3,43.6,39,1659,
2020,821, Nabors Industries Ltd ,37.7,43.4,40.1,45,36.9,36.3,1661,
2017,634,Apache,31.3,49.5,49,47.7,32.7,37.9,1678,
2018,481,Apache,35.1,54,47.3,55,41.7,45.6,1678,
2020,672,Apache Corp,39,58.6,44.9,58.3,20.4,42.7,1678,
2017,2,Apple,64.2,61.8,90.9,61.5,99.5,88.4,1690,
2018,1,Apple,64.7,66.1,109,65.4,106.7,100,1690,
2019,3,Apple Inc,68.1,65.2,100.1,67.7,85.9,92.1,1690,
2020,2,Apple Inc.,65.2,62.5,113.7,67.2,90.3,96,1690,
2021,3,Apple Inc,57.2,62.2,111.8,67,89.3,91.6,1690,
2017,67,Applied Materials,61.1,52,51.8,62.5,65.3,62.9,1704,
2018,50,Applied Materials,64.4,57.9,49.2,61.1,73.3,66.6,1704,
2019,109,Applied Materials Inc,52.7,55.2,50.1,61.1,63.9,60.2,1704,
2020,70,Applied Materials Inc,59.7,54.3,60.3,63.8,59.3,64.4,1704,
2021,48,Applied Materials Inc,62.3,55.7,58,63.9,70.4,67.5,1704,
2017,391, Archer-Daniels-Midland ,54.3,48.4,46,44.7,50.6,47.6,1722,
2018,244,Archer-Daniels-Midland,59.2,53,48.9,52.3,49.4,53.5,1722,
2019,252,Archer Daniels Midland Co,47.1,54.6,52.4,56.2,48.3,52.9,1722,
2020,136, Archer-Daniels-Midland Co ,64.1,53.7,53.1,59,52.3,59.4,1722,
2021,106, Archer-Daniels-Midland Co ,68.8,56.2,50.2,57.9,54.5,61.2,1722,
2020,703,ArcBest Corporation,40.3,51.7,41,43.5,47.3,41.8,1743,
2021,510,ArcBest Corporation,46.5,59.3,41.3,44.3,48.7,46.3,1743,
2017,564,Arrow Electronics,45.5,40.1,41.6,44.5,49.4,40.8,1773,
2018,528,Arrow Electronics,59.7,30.6,44.3,50.6,47.3,44.5,1773,
2020,423,Arrow Electronics Inc,60.8,42.4,42.9,53.2,49.4,49.2,1773,
2021,507,Arrow Electronics Inc,62.9,35.7,42.4,48.9,49.2,46.4,1773,
2017,518,Ashland,48.9,42,47.1,47.5,41.9,42.7,1794,
2017,149,Autodesk,50.7,68.6,53.4,71.2,25.5,56.7,1878,
2018,174,Autodesk,50.2,63.6,51.8,67.8,35.5,56.4,1878,
2019,94,Autodesk Inc,49.9,66.6,54.3,62.8,52.5,61.3,1878,
2020,79,Autodesk Inc,51.3,64.1,52.2,65.5,62.6,63.6,1878,
2021,86,Autodesk Inc,51.3,66.2,47.2,65.9,64.4,63.1,1878,
2017,182, Automatic Data Processing ,58.2,53.4,48.9,49,58.3,54.9,1891,
2018,166,Automatic Data Processing,51.9,57.7,47.2,53.8,62.1,56.7,1891,
2019,62,Automatic Data Processing Inc,62.1,55.5,51.8,64,66.4,64.7,1891,
2020,36, Automatic Data Processing ,58.7,56,70.9,66.1,62,69.8,1891,
2021,106, Automatic Data Processing ,57.9,56.1,53,61.3,58.7,61.2,1891,
2017,72,Avery Dennison,64.3,54.7,54.1,60.8,56.8,62.3,1913,
2018,89,Avery Dennison,67,53.9,52.5,59.4,56.8,61.7,1913,
2020,125,Avery Dennison Corp,63.1,59.6,54.1,53.6,55.4,60.1,1913,
2021,164,Avery Dennison Corp,60,56.6,51,56.1,53.9,58.3,1913,
2017,493,Avnet,48.3,42.2,46,48.3,45.9,43.8,1919,
2018,539,Avnet,54.1,36,46.3,52.5,41,44.1,1919,
2020,569,Avnet Inc,53.7,37,45.5,52.5,46,45.5,1919,
2021,458,Avnet Inc,54.8,42.7,46.3,53,43.9,47.9,1919,
2017,253,Avon Products,65.1,44.3,50.7,58.6,38.2,51.9,1920,
2018,228,Avon Products,64,46.3,48.6,64.7,39.5,54.2,1920,
2017,171,Ball,60.7,49.2,46.4,64.4,46.1,55.3,1988,
2018,214,Ball,53.6,47.4,51.4,65.4,45.2,54.6,1988,
2019,209,Ball Corp,47.2,48.6,52.5,66.2,48.2,54.4,1988,
2020,165,Ball Corp,52.7,57,52,62.2,52.1,58,1988,
2021,113,Ball Corp,57.3,59.4,47.5,68.3,49.3,60.7,1988,
2017,280, Bank of New York Mellon ,51.9,42.6,49.6,60.6,48.7,51.1,2019,
2018,235,Bank of New York Mellon,54.5,45.5,48.1,66.4,46.4,53.9,2019,
2019,316,Bank of New York Mellon Corp,41.5,41.3,51.5,64.2,48.6,50.1,2019,
2020,294, The Bank of New York Mellon Corp ,48.2,42.1,51.3,63.2,51.1,52.5,2019,
2021,293, The Bank of New York Mellon Corp ,47.2,44.5,51.8,65.3,45,52.9,2019,
2017,171,Baxter International,47,52.9,47.7,69.3,48.6,55.3,2086,
2018,178,Baxter International,47.1,49.7,51.5,68.9,49.8,56.2,2086,
2019,199,Baxter International Inc,43.6,51.1,49.4,64.9,54.6,55,2086,
2020,170,Baxter Intl Inc,45.5,53.3,56.3,63.5,54.8,57.7,2086,
2021,141,Baxter Intl Inc,54.2,57.8,50.9,66.8,46.7,59.4,2086,
2020,789, Applied Industrial Technologies ,47.4,33.6,45.1,39,47.5,38.6,2101,
2021,760, Applied Industrial Technologies ,47.9,36.2,47.1,38.2,46.6,39.3,2101,
2017,124,Becton Dickinson &amp; Co.,53.5,52.2,58,65.5,47.3,58.3,2111,
2018,129,Becton Dickinson &amp; Co.,51.1,48.6,63.6,67,45.1,58.8,2111,
2019,157,Becton Dickinson and Co,44.5,53,64.4,62.9,45.1,56.9,2111,
2020,115, Becton Dickinson &amp; Co ,46.9,57.9,64.7,64.5,48.4,60.9,2111,
2021,128,Becton Dickinson &amp; Co,49.2,55.3,63.3,63.6,45.3,59.9,2111,
2017,50, Verizon Communications ,48.5,57.4,53.3,64.7,74.1,65,2136,
2018,45,Verizon Communications,39.5,56,63.9,66.6,78.3,67.7,2136,
2019,65,Verizon Communications Inc,44.8,54.6,58,64.7,70.9,64.3,2136,
2020,69, Verizon Communications Inc ,43.5,56.8,57.4,67.1,73.9,64.9,2136,
2021,36, Verizon Communications Inc ,46.3,58.9,69.2,68,70.2,69.1,2136,
2017,110,Berkshire Hathaway,49.4,43.3,81.3,33.9,76.3,59.1,2176,
2018,107,Berkshire Hathaway,45.5,52.2,71.2,34.2,81.9,60.4,2176,
2019,275,Berkshire Hathaway Inc,53.1,39.9,60.5,32.8,70.3,51.8,2176,
2020,588, Berkshire Hathaway B ,49.6,28.6,48.7,33.9,77.5,45.1,2176,
2021,561,Berkshire Hathaway B,47.4,29.8,56.8,31.7,80.1,45.3,2176,
2017,97,Best Buy,54.1,53.7,51.8,63.7,59.6,60.2,2184,
2018,62,Best Buy,60.8,58.6,48.1,68.5,61.4,64.5,2184,
2019,78,Best Buy Co Inc,61.4,59.4,48.3,66.2,59.2,63,2184,
2020,77,Best Buy Co Inc,67.8,57.1,48.3,68,56.6,63.9,2184,
2021,95,Best Buy Co Inc,68.2,47.6,52.3,62.4,59.7,62.1,2184,
2020,156, Bio-Rad Laboratories Inc A ,66.4,43,51.2,45.6,77.4,58.4,2220,
2021,323, Bio-Rad Laboratories Inc A ,60.2,40.7,45.5,42.3,78.5,51.9,2220,
2017,542,H&amp;R Block,31.7,43.5,41.8,42.7,64.1,41.8,2269,
2018,368,H&amp;R Block,32.5,49.3,45.2,44.9,73.6,48.9,2269,
2019,450,H &amp; R Block Inc,44.2,42,45,46.2,56.3,45.4,2269,
2020,723,H&amp;R Block Inc,40.5,43.3,41.5,47.7,46.4,40.9,2269,
2021,724,H&amp;R Block Inc,42.8,41,40.1,44.7,54,40.8,2269,
2017,52,Boeing,62.7,51.7,60.7,53.7,71.3,64.7,2285,
2018,34,Boeing,64.6,55,65.1,56.1,75.3,69.9,2285,
2019,31,Boeing Co,59.3,55,74.6,55.1,67.5,68.7,2285,
2020,66,Boeing Co,62.1,52.9,83.9,56.2,39.9,65,2285,
2021,233,Boeing Co,58.6,48,72.7,54.9,19.8,55.1,2285,
2017,322, Robert Half International ,41.9,56.5,45.2,44.7,62.8,50,2312,
2018,303,Robert Half International,49.4,47.1,47.1,45,66.4,51.2,2312,
2019,189,Robert Half International Inc,61.1,50.2,48.1,51,60.5,55.5,2312,
2020,240,Robert Half Intl Inc,53.7,47.5,52,55.1,56.6,54.4,2312,
2021,351,Robert Half Intl Inc,47.9,47.4,47.9,53.5,58.6,51,2312,
2017,47,Bristol-Myers Squibb,47.4,62.9,61.6,69.5,58.1,65.6,2403,
2018,76,Bristol-Myers Squibb,49.2,60.7,51.5,70,58.9,62.9,2403,
2019,54,Bristol-Myers Squibb Co,49.1,62.4,58.2,65.4,62.5,65.2,2403,
2020,82,Bristol-Myers Squibb,42.5,63.7,61.6,64.9,58.6,63.2,2403,
2021,105,Bristol-Myers Squibb,45.8,66.4,62.7,62.4,44.4,61.3,2403,
2017,39,Brown-Forman,57.3,72.8,56.2,59.5,58.3,66.5,2435,
2018,46,Brown-Forman,56.5,75.4,56.3,59.9,60,67.5,2435,
2019,74,Brown-Forman Corp,54,68.9,57.3,61.6,53.3,63.7,2435,
2020,125, Brown-Forman Corp B ,59.3,66.3,47.2,56.9,56.9,60.1,2435,
2021,175,Brown-Forman Corp B,56.4,61.4,50.5,55.6,51.4,57.7,2435,
2018,320,Brunswick,56.8,57.4,50.2,39.4,50.9,50.6,2444,
2019,330,Brunswick Corp,54.1,52.7,51.1,42.3,51.1,49.7,2444,
2020,260,Brunswick Corp,58.4,53.5,53.8,48.9,48.5,53.6,2444,
2021,262,Brunswick Corp,57.5,49.7,50,51.7,54.3,53.7,2444,
2018,700,MasTec,45.7,35.7,44,38.5,44.7,37.3,2497,
2019,604,MasTec Inc,40.6,38.4,44.1,35.4,51.1,38,2497,
2020,735,Mastec Inc,49.2,42.5,42.8,37.1,49.4,40.5,2497,
2021,695,Mastec Inc,49.6,39.4,45.3,41.3,48.3,41.6,2497,
2017,336,CIGNA,36.5,53.4,46,57.5,54,49.5,2547,
2018,275,Cigna,33.2,57.6,47.1,63.7,52.7,52.4,2547,
2019,202,Cigna Corp,43.5,56.5,47.9,62.6,52.9,54.9,2547,
2020,211,Cigna Corporation,41.3,55.3,49.7,65.4,56.1,55.9,2547,
2021,123,Cigna Corporation,40,56.8,55.3,70.7,56.6,60,2547,
2019,543,CNA Financial Corp,42,48.1,45.4,37.5,49.6,41.8,2558,
2020,678, CNA Financial Corp (IL) ,46.9,46,50.7,39.2,42.4,42.5,2558,
2021,682,CNA Financial Corp (IL),40.9,50.4,47.6,38.3,48.7,42,2558,
2017,224,CSX,43.7,55.2,44.5,64.4,51.8,53.4,2574,
2018,453,CSX,41.4,35.1,45.8,59.8,53.4,46.5,2574,
2019,314,CSX Corp,43.6,33.5,48.1,61.6,60.6,50.2,2574,
2020,411,CSX Corporation,51.8,36,45.9,58.8,55,49.4,2574,
2021,451,CSX Corporation,50.2,31.8,45.5,61.5,52.7,48.1,2574,
2017,544,CBS,37.1,46.3,48.4,42.5,49.5,41.7,2577,
2018,455,CBS,43,50.7,45.1,43.3,56.5,46.4,2577,
2019,427,CBS Corp,39.5,49.2,48.2,50.2,48.6,46.4,2577,
2017,689, Cabot Oil &amp; Gas ,26,34.3,42.1,39.9,36.3,28,2593,
2020,281,Cabot Corp,59.9,50.9,46.7,57.5,45.4,53,2593,
2017,49,Campbell Soup,59.9,62.9,49.6,69.9,56.1,65.2,2663,
2018,101,Campbell Soup,62.6,49.2,51,72,49.1,60.8,2663,
2019,204,Campbell Soup Co,58.6,46.3,51.2,69.1,42.1,54.8,2663,
2020,116,Campbell Soup Co,64,48.6,51.5,71.2,48.9,60.7,2663,
2021,91,Campbell Soup Co,61.8,56.2,53,66.5,49.2,62.3,2663,
2017,326, Canadian National Railway?€? ,41.2,49.3,41.9,58.7,55.9,49.9,2696,
2017,588, Canadian Pacific Railway?€? ,35.6,25.6,46.8,54.5,52.2,39.7,2698,
2017,148,Constellation Brands,58.5,57.1,55.6,45.4,57.9,56.8,2710,
2018,151,Constellation Brands,56.2,62.4,53.7,47.6,55.6,57.2,2710,
2019,195,Constellation Brands Inc,56.8,57.1,52.9,44.7,58,55.2,2710,
2020,466, Constellation Brands Inc A ,55,50.7,50.2,48.8,37.9,47.9,2710,
2021,398, Constellation Brands Inc A ,53.1,54.1,51.7,44.5,45.8,49.7,2710,
2017,134,Cardinal Health,60.1,55,55.2,50.2,55.7,57.5,2751,
2018,253,Cardinal Health,57.3,53.2,49.3,56,44.4,53.1,2751,
2019,164,Cardinal Health Inc,63.3,48.9,52.2,62.1,46.9,56.2,2751,
2020,235,Cardinal Health Inc,60.9,49.3,49.7,59.7,45.3,54.6,2751,
2021,123,Cardinal Health Inc,61.6,47.9,52.3,67,50.5,60,2751,
2018,558,Carlisle Companies,57.8,41.6,46.2,38.9,46.3,43.4,2771,
2019,570,Carlisle Companies Inc,49.3,38.4,47.1,39.6,46.6,40.8,2771,
2020,418,Carlisle Cos,56.1,54.6,46.8,42.8,50.3,49.3,2771,
2021,422,Carlisle Cos,51.3,52.7,50.7,45.2,46.8,48.9,2771,
2017,572, Casey?€?s General Stores ,45.6,43.6,41.8,44.1,45.1,40.5,2807,
2018,576,Casey&#8217;s General Stores,52.7,42,47.9,40.7,44.6,42.9,2807,
2019,553,Caseys General Stores Inc,59.8,36,45.6,40.4,44.9,41.5,2807,
2020,598, Casey&#8217;s General Stores Inc ,61.4,37.6,46.3,39.2,51.3,44.8,2807,
2021,710, Casey&#8217;s General Stores Inc ,51.8,34.3,48.4,39.2,49.2,41.2,2807,
2017,253,Caterpillar,62.2,42.6,56.1,53.7,43,51.9,2817,
2018,84,Caterpillar,69.3,50.6,59.1,57,55,62.2,2817,
2019,61,Caterpillar Inc,62.3,52.2,66.1,56.5,63.4,64.9,2817,
2020,32,Caterpillar Inc,76.6,53,75.1,58.2,56.3,70.9,2817,
2021,44,Caterpillar Inc,75.2,52.7,72.2,56.3,50.5,68.2,2817,
2021,781," Lumen Technologies, Inc ",25.2,38.1,50.2,49.1,44.5,37.9,2884,
2018,520,Magellan Health,46.2,48.7,45.4,47.3,45,44.7,2940,
2020,668,Magellan Health Inc,49.3,42.1,46.9,42,46.6,42.8,2940,
2021,735,Magellan Health Inc,40.1,42.3,48,44.9,40.3,40.2,2940,
2017,53,JPMorgan Chase,50.6,54.9,64.3,61.1,66.6,64.5,2968,
2018,27,JPMorgan Chase,58.7,59.5,68.5,66.8,66.3,71.7,2968,
2019,26,JPMorgan Chase &amp; Co,64.4,59.6,60,66.7,67.4,70.3,2968,
2020,30, JP Morgan Chase &amp; Co ,63,61.2,60,67.5,69.5,71.1,2968,
2021,31,JP Morgan Chase &amp; Co,58.4,58.6,69,61.2,67.6,69.4,2968,
2017,218,Chevron,43.8,61.8,53,55,47.8,53.6,2991,
2018,91,Chevron,43.4,58.8,72.5,56.5,53.6,61.5,2991,
2019,67,Chevron Corp,39.1,59.9,74.8,58.4,59.1,64.2,2991,
2020,327,Chevron Corp,19.4,59.2,71,57.2,40,51.6,2991,
2021,280,Chevron Corp,27.5,56.2,67.5,59.4,43.1,53.3,2991,
2020,536,Brinker Intl Inc,47.4,58.2,47.8,40.9,44.3,46.1,3007,
2021,462,Brinker Intl Inc,53.4,53.5,51.2,39.9,46.4,47.8,3007,
2017,280,Church &amp; Dwight,58.5,38.6,57.2,47.7,53.9,51.1,3026,
2018,196,Church &amp; Dwight,60.8,52.1,47.9,54.2,54,55.4,3026,
2019,277,Church &amp; Dwight Co Inc,55.7,48,47.8,55.4,50.5,51.7,3026,
2020,159,Church &amp; Dwight Co,64,52.3,49,58.8,54.9,58.2,3026,
2021,160,Church &amp; Dwight Co,61.7,57.9,49,57.6,52.2,58.7,3026,
2017,331,Cintas,47,49.6,48.3,48.9,55.7,49.6,3062,
2018,494,Cintas,34.3,50.4,48.4,44.8,55.6,45.3,3062,
2019,309,Cintas Corp,40,50.7,52.4,49.5,55.9,50.4,3062,
2020,452,Cintas Corp,42.8,49.3,50.7,45.2,57.4,48.4,3062,
2021,433,Cintas Corp,45.6,46.9,49.8,49.2,55.2,48.6,3062,
2017,605,iHeartMedia?€?,59.1,32.5,47.1,39.4,39.8,39,3105,
2021,330,Cleveland-Cliffs Inc,56.5,51.2,47.9,49.7,51.3,51.7,3107,
2017,15,Clorox,65,72.8,48.4,69.4,71.7,73.8,3121,
2018,19,Clorox,70.8,67.1,54.2,67.5,70.5,73.9,3121,
2019,40,Clorox Co,67.1,65.8,55.4,66.3,54.6,67,3121,
2020,33,Clorox Co,72.5,64,55.8,68.8,60.2,70.8,3121,
2021,59,Clorox Co,69.8,61.5,52,64.4,55.3,66.3,3121,
2020,679," Coca-Cola Consolidated, Inc ",53,40.4,51.2,33.2,48.9,42.4,3138,
2021,493," Coca-Cola Consolidated, Inc ",48.6,42.9,64.5,33,53.6,46.9,3138,
2017,34,Coca-Cola,59.8,53.5,80.1,62.7,51.9,67.5,3144,
2018,37,Coca-Cola,67.7,55,73,64,54.6,69.8,3144,
2018,445,Coca-Cola Bottling,58.3,39.9,55.7,43.9,42,46.7,3144,
2019,53,Coca-Cola Co,60.1,54.2,64.2,65.4,56.9,65.3,3144,
2020,40,Coca-Cola Co,65.5,57.5,66.4,63.2,59.8,68.9,3144,
2021,42,Coca-Cola Co,64,54.7,67,63.8,59.8,68.5,3144,
2017,17,Colgate-Palmolive,64.4,60.5,62,66.2,71.3,72.7,3170,
2018,21,Colgate-Palmolive,59.2,66.1,59.9,68.4,73.4,73.6,3170,
2019,51,Colgate-Palmolive Co,55.7,64.9,59.8,67.2,52.9,65.4,3170,
2020,21,Colgate-Palmolive Co,57.8,64.8,64.5,69.2,66.5,72.1,3170,
2021,38,Colgate-Palmolive Co,57.2,69,53.2,66.8,68.7,68.9,3170,
2017,376,Aon?€??€?,39.9,48.4,46.7,54.1,53.3,48.2,3221,
2018,375,Aon,47.6,47.9,45.6,51.6,52.5,48.7,3221,
2019,269,Aon PLC,43.7,52.2,51.2,54.8,52.7,52,3221,
2020,353,Aon plc,47.1,51.4,44.3,54.6,56.4,50.8,3221,
2021,467,Aon plc,36.6,49,48.9,53.6,54.3,47.7,3221,
2017,259,Comcast,22.7,51.6,64.4,51.7,65,51.8,3226,
2018,186,Comcast,23.3,53.8,66.4,52.5,68.9,55.9,3226,
2019,161,Comcast Corp,35.8,53.1,58,55,64.3,56.6,3226,
2020,240,Comcast Corp A,29.5,52.5,57.4,56.2,66.7,54.4,3226,
2021,187,Comcast Corp A,31.3,55.4,61.9,61.2,63.1,57.1,3226,
2017,370,Comerica,44,48.7,43.9,60.5,46.1,48.3,3231,
2018,380,Comerica,49.5,44.2,44.5,60.6,45,48.6,3231,
2019,213,Comerica Inc,48.8,45.4,46.6,66.9,53.9,54,3231,
2020,337,Comerica Inc (MI),49.3,50.6,45.5,59.4,48.5,51.2,3231,
2021,345,Comerica Inc (MI),46,56.3,45.7,59.2,43.7,51.2,3231,
2017,63,Citigroup,46.3,58.2,65.4,65.5,57.8,63.5,3243,
2018,152,Citigroup,48.1,54,59,65.4,44,57.1,3243,
2019,85,Citigroup Inc,53.8,53.1,58.1,66.4,57.5,62.1,3243,
